"probs","geography","gender","numofproducts","hascrcard","isactivemember","exited","creditscore_bin","age_bin","tenure_bin","balance_bin","estimatedsalary_bin"
0.928,"France","Male",1,1,0,1,"600-850","45+","5-7","<100K","50K-100K"
0.004,"Spain","Female",2,1,1,0,"<350","18-35","5-7","<100K","50K-100K"
0.008,"Spain","Female",2,0,0,0,"<350","18-35","5-7","<100K","+150K"
0.016,"Germany","Female",1,0,1,1,"600-850","35-45","+7","100K-130K","<50K"
0.016,"Spain","Female",1,0,1,0,"350-600","35-45","3-5","<100K","<50K"
0.08,"Spain","Male",2,1,1,0,"<350","18-35","<3","<100K","50K-100K"
0.216,"France","Male",2,1,0,0,"600-850","18-35","3-5","<100K","+150K"
0.02,"Spain","Female",1,1,0,0,"600-850","35-45","+7","<100K","100K-150K"
0.108,"France","Female",2,1,1,0,"350-600","18-35","3-5","<100K","50K-100K"
0.004,"France","Female",1,1,1,0,"600-850","45+","5-7","100K-130K","50K-100K"
0,"Spain","Male",1,1,1,0,"<350","18-35","<3","<100K","+150K"
0.176,"France","Female",2,0,0,0,"350-600","35-45","3-5","<100K","50K-100K"
0.036,"France","Male",1,0,1,0,"350-600","18-35","+7","<100K","<50K"
0.948,"Germany","Male",1,0,0,0,"350-600","35-45","+7","130K-170K","50K-100K"
0.016,"France","Female",2,1,1,0,"600-850","35-45","3-5","<100K","+150K"
0.02,"France","Female",2,1,0,0,"350-600","18-35","+7","<100K","100K-150K"
0.004,"France","Female",1,0,1,0,"<350","18-35","<3","100K-130K","<50K"
0.012,"Germany","Male",1,1,1,0,"<350","35-45","+7","130K-170K","100K-150K"
0.024,"Germany","Female",1,0,1,0,"<350","18-35","3-5","130K-170K","<50K"
0.124,"Germany","Male",1,1,0,0,"350-600","18-35","<3","100K-130K","<50K"
0.064,"France","Male",1,1,1,1,"<350","35-45","3-5","<100K","50K-100K"
0.02,"France","Female",1,1,0,0,"<350","35-45","+7","100K-130K","100K-150K"
0.008,"Spain","Female",1,1,1,0,"350-600","45+","<3","<100K","<50K"
0.716,"France","Female",2,0,1,0,"<350","18-35","5-7","<100K","50K-100K"
0.024,"Spain","Male",1,1,0,1,"350-600","35-45","+7","+170K","+150K"
0.056,"France","Male",2,1,1,0,"<350","18-35","5-7","130K-170K","100K-150K"
0.056,"France","Male",1,1,0,0,"<350","35-45","+7","100K-130K","+150K"
0.828,"France","Female",1,0,0,0,"600-850","35-45","5-7","<100K","<50K"
0.044,"Germany","Male",1,0,1,1,"600-850","35-45","+7","100K-130K","100K-150K"
0.008,"France","Male",2,1,1,0,"<350","35-45","<3","130K-170K","100K-150K"
0.036,"Spain","Female",2,1,0,0,"600-850","18-35","3-5","130K-170K","<50K"
0.06,"Spain","Male",2,0,1,0,"<350","18-35","5-7","100K-130K","100K-150K"
0.808,"Germany","Female",1,1,1,0,"600-850","18-35","+7","130K-170K","50K-100K"
0.088,"Germany","Female",1,1,1,0,"600-850","35-45","<3","<100K","50K-100K"
0.008,"Spain","Male",2,1,0,0,"600-850","18-35","5-7","<100K","100K-150K"
0.964,"Spain","Male",2,0,1,0,"350-600","18-35","3-5","100K-130K","+150K"
0.68,"France","Female",1,0,0,0,"350-600","35-45","5-7","100K-130K","+150K"
0.012,"Germany","Male",1,1,0,0,"600-850","18-35","+7","<100K","+150K"
0,"France","Male",2,1,1,0,"600-850","18-35","<3","<100K","50K-100K"
0.192,"Germany","Male",1,1,1,0,"600-850","18-35","<3","130K-170K","+150K"
0.884,"Spain","Male",2,1,0,0,"350-600","35-45","5-7","<100K","100K-150K"
0.096,"Spain","Female",1,0,0,0,"<350","35-45","3-5","<100K","+150K"
0.888,"Germany","Male",1,0,1,0,"350-600","35-45","3-5","100K-130K","50K-100K"
0.132,"France","Female",1,1,1,0,"600-850","35-45","+7","100K-130K","+150K"
0.024,"France","Male",1,1,0,0,"350-600","35-45","<3","<100K","+150K"
0.06,"France","Female",1,0,1,1,"<350","45+","3-5","+170K","100K-150K"
0.004,"Germany","Male",2,0,1,0,"600-850","45+","3-5","<100K","<50K"
0.88,"France","Male",2,1,1,0,"350-600","35-45","+7","<100K","+150K"
0.08,"France","Female",2,0,0,0,"600-850","18-35","+7","<100K","+150K"
0.116,"Spain","Female",1,1,0,1,"350-600","45+","3-5","<100K","+150K"
0.972,"France","Male",2,1,1,0,"350-600","18-35","3-5","100K-130K","50K-100K"
0.072,"Germany","Male",1,0,1,0,"350-600","35-45","3-5","100K-130K","+150K"
0.06,"Spain","Male",2,1,1,0,"600-850","35-45","<3","<100K","50K-100K"
0.804,"France","Male",1,0,1,0,"350-600","35-45","+7","<100K","100K-150K"
0.068,"France","Female",1,1,1,0,"350-600","18-35","5-7","130K-170K","<50K"
0.896,"Germany","Female",1,0,0,1,"350-600","35-45","<3","100K-130K","50K-100K"
0.044,"France","Male",1,0,1,0,"350-600","18-35","<3","<100K","<50K"
0.124,"France","Male",2,1,1,0,"600-850","35-45","<3","<100K","50K-100K"
0,"France","Male",2,1,0,0,"600-850","18-35","<3","<100K","<50K"
0.064,"France","Female",1,0,1,0,"<350","35-45","<3","130K-170K","100K-150K"
0.016,"France","Male",1,1,0,1,"350-600","45+","+7","100K-130K","<50K"
0.012,"Spain","Male",1,1,1,0,"600-850","18-35","+7","<100K","100K-150K"
0.024,"France","Male",2,1,0,0,"600-850","18-35","<3","<100K","<50K"
0.076,"France","Male",2,1,1,0,"350-600","45+","5-7","<100K","50K-100K"
0.704,"France","Male",1,0,0,0,"<350","35-45","<3","100K-130K","50K-100K"
0.94,"France","Male",2,1,1,0,"600-850","18-35","<3","<100K","50K-100K"
0.856,"Spain","Male",2,1,1,0,"350-600","45+","<3","<100K","<50K"
0.012,"France","Male",2,0,1,0,"350-600","18-35","<3","<100K","+150K"
0.232,"Spain","Male",2,1,0,0,"350-600","35-45","5-7","<100K","100K-150K"
0,"Spain","Male",2,0,1,0,"350-600","35-45","+7","<100K","100K-150K"
0.02,"Spain","Male",1,0,0,0,"600-850","35-45","5-7","130K-170K","+150K"
0,"Spain","Female",1,1,0,1,"600-850","35-45","+7","<100K","+150K"
0.008,"France","Male",2,1,1,0,"350-600","35-45","5-7","+170K","100K-150K"
0.016,"France","Female",1,0,0,0,"600-850","35-45","5-7","130K-170K","100K-150K"
0.012,"France","Female",1,1,0,0,"<350","35-45","3-5","130K-170K","+150K"
0.004,"France","Female",2,1,0,0,"<350","35-45","<3","<100K","50K-100K"
0.096,"France","Female",1,0,1,0,"600-850","35-45","3-5","100K-130K","+150K"
0.008,"France","Male",2,1,0,0,"<350","18-35","+7","<100K","<50K"
0.004,"France","Female",1,1,0,0,"600-850","18-35","<3","100K-130K","50K-100K"
0.712,"France","Male",2,1,1,0,"<350","35-45","+7","<100K","50K-100K"
0.056,"France","Female",1,1,1,0,"350-600","18-35","+7","130K-170K","100K-150K"
0.004,"France","Female",2,0,0,0,"<350","35-45","<3","<100K","100K-150K"
0.04,"Spain","Female",1,1,1,0,"600-850","35-45","<3","100K-130K","<50K"
0.108,"Germany","Male",2,0,1,0,"350-600","35-45","+7","130K-170K","+150K"
0.708,"Spain","Female",2,1,1,0,"600-850","35-45","3-5","100K-130K","100K-150K"
0.016,"Germany","Female",1,1,1,1,"350-600","45+","+7","100K-130K","100K-150K"
0.032,"Spain","Male",1,1,1,0,"350-600","35-45","5-7","+170K","50K-100K"
0.012,"France","Female",2,1,1,0,"600-850","18-35","+7","+170K","50K-100K"
0.104,"Spain","Male",1,0,0,0,"<350","18-35","+7","130K-170K","50K-100K"
0.044,"Spain","Female",1,0,1,1,"600-850","45+","3-5","<100K","100K-150K"
0.104,"France","Male",1,0,1,0,"350-600","18-35","+7","<100K","+150K"
0.944,"France","Female",2,0,0,0,"350-600","18-35","3-5","<100K","+150K"
0,"Germany","Female",2,1,0,0,"600-850","18-35","+7","100K-130K","+150K"
0.028,"Spain","Male",3,1,0,1,"350-600","35-45","<3","<100K","50K-100K"
0.04,"Germany","Male",1,0,0,1,"<350","45+","3-5","130K-170K","<50K"
0.664,"Germany","Female",1,1,1,0,"<350","35-45","3-5","<100K","<50K"
0.024,"Spain","Female",2,0,1,0,"<350","35-45","+7","<100K","50K-100K"
0.024,"France","Male",1,0,1,0,"600-850","18-35","+7","+170K","+150K"
0.012,"France","Male",2,1,1,0,"<350","18-35","<3","<100K","<50K"
0.032,"France","Male",1,1,1,0,"350-600","18-35","5-7","<100K","<50K"
0.272,"France","Male",1,1,1,0,"<350","18-35","+7","130K-170K","100K-150K"
0.012,"France","Male",2,1,0,0,"600-850","18-35","+7","100K-130K","+150K"
0.896,"Spain","Female",2,1,0,0,"350-600","45+","3-5","<100K","50K-100K"
0.188,"Spain","Male",1,1,0,1,"<350","18-35","3-5","100K-130K","50K-100K"
0.744,"France","Female",1,1,1,0,"600-850","45+","5-7","<100K","<50K"
0,"Spain","Male",2,1,1,0,"600-850","45+","3-5","<100K","<50K"
0.036,"Germany","Female",1,1,0,0,"600-850","18-35","+7","130K-170K","100K-150K"
0.076,"France","Female",1,1,0,0,"350-600","18-35","+7","100K-130K","<50K"
0.004,"Spain","Male",2,1,0,0,"600-850","18-35","5-7","<100K","100K-150K"
0.936,"France","Male",2,1,1,0,"<350","18-35","3-5","130K-170K","<50K"
0.192,"Spain","Male",2,1,1,0,"<350","18-35","5-7","100K-130K","+150K"
0.024,"France","Male",2,1,1,0,"600-850","18-35","+7","<100K","50K-100K"
0.136,"France","Male",2,1,1,1,"<350","45+","<3","<100K","100K-150K"
0.024,"France","Female",2,1,0,0,"<350","18-35","+7","130K-170K","<50K"
0.02,"Germany","Male",1,0,0,0,"600-850","35-45","3-5","<100K","50K-100K"
0.828,"Spain","Female",1,1,0,1,"350-600","35-45","+7","<100K","100K-150K"
0.012,"Germany","Male",2,0,1,0,"350-600","35-45","<3","100K-130K","50K-100K"
0.064,"France","Male",2,1,0,0,"<350","18-35","5-7","<100K","50K-100K"
0.028,"France","Female",2,1,0,1,"600-850","35-45","3-5","130K-170K","50K-100K"
0.088,"Spain","Female",1,0,0,1,"<350","35-45","+7","<100K","50K-100K"
0.108,"France","Male",1,1,1,0,"600-850","35-45","+7","<100K","<50K"
0.096,"France","Male",1,1,0,1,"600-850","18-35","+7","<100K","<50K"
0.008,"France","Male",2,0,1,0,"600-850","35-45","5-7","130K-170K","+150K"
0.032,"France","Female",1,1,0,0,"350-600","45+","+7","130K-170K","<50K"
0.888,"France","Male",1,1,0,1,"<350","45+","<3","100K-130K","50K-100K"
0.788,"Germany","Male",2,0,1,0,"350-600","35-45","5-7","<100K","100K-150K"
0.012,"France","Female",2,1,1,0,"600-850","18-35","5-7","<100K","<50K"
0.968,"Spain","Male",2,0,1,0,"350-600","18-35","+7","100K-130K","<50K"
0.056,"France","Female",2,1,1,0,"600-850","18-35","3-5","100K-130K","<50K"
0.02,"Germany","Female",2,1,1,0,"350-600","45+","+7","100K-130K","100K-150K"
0.336,"Spain","Female",1,0,0,1,"600-850","45+","+7","<100K","+150K"
0.916,"Spain","Female",1,1,1,0,"600-850","45+","5-7","100K-130K","+150K"
0.772,"Germany","Male",1,1,0,0,"350-600","35-45","+7","130K-170K","50K-100K"
0.04,"Spain","Male",1,0,1,0,"<350","18-35","<3","130K-170K","+150K"
0.664,"France","Female",2,0,1,0,"<350","18-35","3-5","<100K","50K-100K"
0.012,"Germany","Male",1,0,0,0,"<350","35-45","5-7","<100K","<50K"
0.016,"Spain","Male",1,1,1,0,"600-850","45+","+7","100K-130K","50K-100K"
0.792,"France","Male",1,1,0,1,"<350","45+","+7","130K-170K","50K-100K"
0.076,"France","Male",2,0,1,0,"600-850","18-35","<3","<100K","+150K"
0.756,"Germany","Female",2,0,1,0,"350-600","45+","<3","130K-170K","50K-100K"
0.156,"France","Female",1,0,0,1,"600-850","45+","<3","100K-130K","+150K"
0.008,"Spain","Male",2,0,0,0,"350-600","18-35","<3","<100K","100K-150K"
0.068,"France","Female",2,0,1,0,"350-600","45+","3-5","<100K","<50K"
0.02,"France","Male",2,0,0,0,"350-600","18-35","5-7","<100K","+150K"
0.136,"Spain","Female",1,1,1,0,"600-850","45+","5-7","100K-130K","<50K"
0.032,"Spain","Male",1,1,0,0,"600-850","35-45","3-5","<100K","50K-100K"
0.184,"France","Male",2,1,1,0,"<350","18-35","<3","<100K","+150K"
0.056,"Germany","Female",1,0,0,1,"600-850","45+","<3","100K-130K","50K-100K"
0.012,"France","Male",2,1,1,0,"600-850","18-35","<3","<100K","100K-150K"
0.004,"Spain","Female",2,1,1,0,"350-600","45+","+7","<100K","+150K"
0.82,"Germany","Male",2,1,1,0,"350-600","35-45","5-7","130K-170K","100K-150K"
0.968,"Germany","Male",2,1,1,1,"600-850","45+","<3","100K-130K","50K-100K"
0.032,"Germany","Male",1,1,0,1,"<350","45+","3-5","<100K","100K-150K"
0,"Germany","Female",1,1,1,0,"600-850","18-35","+7","130K-170K","100K-150K"
0.012,"France","Male",2,1,0,0,"<350","35-45","3-5","<100K","100K-150K"
0.008,"France","Male",2,1,0,0,"<350","35-45","3-5","<100K","<50K"
0.024,"Spain","Female",2,0,0,0,"600-850","35-45","<3","<100K","<50K"
0.716,"Germany","Male",1,1,0,1,"350-600","45+","3-5","<100K","+150K"
0.936,"Germany","Male",1,1,1,1,"350-600","35-45","3-5","100K-130K","100K-150K"
0.96,"France","Female",2,1,1,0,"<350","18-35","+7","<100K","+150K"
0.02,"Germany","Male",2,1,1,0,"<350","45+","+7","130K-170K","100K-150K"
0.012,"France","Female",2,0,0,0,"<350","35-45","+7","<100K","50K-100K"
0.04,"France","Male",1,1,0,0,"350-600","18-35","+7","<100K","<50K"
0.136,"Spain","Female",1,1,0,0,"600-850","18-35","+7","<100K","50K-100K"
0.004,"Spain","Male",1,0,0,1,"<350","35-45","5-7","100K-130K","50K-100K"
0.004,"Spain","Male",1,1,0,0,"<350","35-45","<3","100K-130K","50K-100K"
0.936,"France","Female",2,1,0,0,"350-600","18-35","<3","<100K","+150K"
0,"France","Male",1,1,1,0,"600-850","18-35","<3","<100K","50K-100K"
0.004,"Spain","Female",1,1,1,0,"350-600","18-35","3-5","<100K","100K-150K"
0.92,"France","Male",2,1,0,0,"350-600","18-35","5-7","<100K","50K-100K"
0.068,"Germany","Female",2,0,1,0,"600-850","35-45","<3","100K-130K","<50K"
0.128,"Spain","Male",1,1,0,0,"600-850","35-45","<3","<100K","<50K"
0.04,"France","Male",1,1,1,0,"600-850","45+","+7","<100K","50K-100K"
0.936,"Germany","Female",1,1,0,1,"<350","45+","3-5","100K-130K","50K-100K"
0.084,"Germany","Female",1,0,1,1,"350-600","35-45","5-7","100K-130K","100K-150K"
0.024,"Spain","Male",1,1,1,0,"350-600","18-35","+7","100K-130K","100K-150K"
0.016,"France","Female",2,1,0,0,"<350","35-45","5-7","<100K","+150K"
0.012,"France","Female",2,1,1,0,"350-600","18-35","+7","<100K","<50K"
0.004,"Germany","Female",1,1,1,0,"350-600","18-35","3-5","<100K","+150K"
0.024,"France","Female",1,1,1,0,"350-600","18-35","<3","100K-130K","+150K"
0.176,"France","Male",1,1,0,0,"<350","18-35","5-7","<100K","+150K"
0.012,"France","Male",2,1,0,0,"<350","45+","+7","<100K","+150K"
0.02,"Spain","Male",1,0,0,0,"600-850","18-35","5-7","<100K","50K-100K"
0.104,"France","Female",2,0,0,0,"600-850","18-35","<3","<100K","+150K"
0.052,"France","Female",1,1,1,1,"600-850","45+","+7","100K-130K","50K-100K"
0.012,"France","Female",2,0,1,0,"350-600","35-45","<3","100K-130K","<50K"
0.68,"France","Male",1,1,0,1,"<350","18-35","+7","<100K","50K-100K"
0.252,"Spain","Male",2,1,0,0,"600-850","35-45","5-7","+170K","50K-100K"
0.84,"France","Female",1,1,1,1,"600-850","45+","3-5","<100K","<50K"
0.056,"France","Male",2,1,1,1,"<350","45+","+7","100K-130K","+150K"
0,"Spain","Female",2,1,1,0,"350-600","45+","+7","<100K","<50K"
0.924,"Germany","Male",4,1,1,1,"<350","45+","+7","100K-130K","+150K"
0.104,"Spain","Male",2,1,0,0,"350-600","18-35","<3","<100K","50K-100K"
0.872,"France","Male",3,0,0,0,"600-850","35-45","5-7","<100K","50K-100K"
0.004,"Germany","Female",2,0,1,0,"350-600","18-35","+7","<100K","+150K"
0.944,"France","Male",2,0,0,0,"350-600","45+","+7","<100K","<50K"
0,"France","Female",1,1,0,0,"350-600","35-45","+7","100K-130K","100K-150K"
0.016,"France","Male",1,0,0,0,"<350","35-45","3-5","<100K","+150K"
0.708,"France","Female",2,1,0,0,"<350","18-35","<3","<100K","<50K"
0.012,"Germany","Male",2,1,0,0,"350-600","18-35","<3","130K-170K","50K-100K"
0.012,"Spain","Male",2,1,1,0,"600-850","45+","5-7","<100K","+150K"
0.02,"Germany","Male",2,0,0,0,"<350","18-35","3-5","130K-170K","100K-150K"
0.004,"France","Male",1,0,0,0,"600-850","35-45","3-5","<100K","50K-100K"
0.86,"France","Female",1,1,1,0,"350-600","35-45","3-5","<100K","50K-100K"
0.004,"Spain","Female",2,1,1,0,"350-600","35-45","+7","<100K","<50K"
0.008,"France","Male",2,1,1,0,"<350","35-45","+7","130K-170K","<50K"
0.94,"France","Male",2,1,0,0,"600-850","18-35","+7","<100K","+150K"
0.088,"Germany","Female",2,0,0,1,"350-600","45+","+7","100K-130K","<50K"
0.708,"France","Male",1,1,1,0,"350-600","45+","+7","<100K","+150K"
0.664,"Germany","Male",2,1,1,0,"600-850","35-45","3-5","100K-130K","100K-150K"
0.98,"Spain","Female",1,1,0,1,"600-850","45+","<3","130K-170K","50K-100K"
0.004,"France","Female",1,1,0,0,"600-850","18-35","<3","100K-130K","100K-150K"
0.152,"France","Female",1,0,0,1,"<350","45+","3-5","<100K","50K-100K"
0.016,"Spain","Male",2,0,1,0,"<350","35-45","<3","<100K","+150K"
0.012,"France","Male",1,1,1,0,"600-850","18-35","<3","100K-130K","+150K"
0.18,"Spain","Male",2,1,0,0,"<350","35-45","3-5","<100K","+150K"
0.08,"Germany","Male",2,1,1,0,"600-850","18-35","+7","100K-130K","100K-150K"
0.164,"Germany","Male",1,0,1,1,"350-600","18-35","5-7","130K-170K","<50K"
0.012,"Germany","Female",2,1,0,0,"<350","18-35","+7","130K-170K","<50K"
0,"Spain","Male",1,1,0,0,"<350","18-35","+7","<100K","100K-150K"
0,"Germany","Female",1,0,0,0,"350-600","35-45","3-5","130K-170K","+150K"
0.052,"Spain","Female",1,0,1,1,"<350","35-45","<3","<100K","100K-150K"
0.14,"Spain","Male",2,1,1,0,"<350","45+","+7","<100K","100K-150K"
0.004,"France","Male",2,1,0,0,"<350","35-45","<3","<100K","50K-100K"
0.02,"France","Male",2,1,1,0,"<350","45+","3-5","<100K","+150K"
0.748,"France","Female",1,1,0,1,"350-600","45+","3-5","<100K","+150K"
0.004,"France","Male",2,1,0,0,"600-850","18-35","<3","130K-170K","50K-100K"
0.904,"France","Male",1,0,0,0,"600-850","18-35","3-5","100K-130K","50K-100K"
0.048,"France","Male",1,0,1,0,"350-600","18-35","+7","130K-170K","<50K"
0.008,"Germany","Male",1,1,0,1,"<350","35-45","3-5","130K-170K","+150K"
0.752,"France","Male",2,1,1,0,"<350","18-35","5-7","<100K","100K-150K"
0.008,"Germany","Female",1,0,0,1,"<350","45+","5-7","100K-130K","<50K"
0.132,"Germany","Female",1,1,1,1,"600-850","35-45","<3","100K-130K","<50K"
0.036,"France","Female",1,0,1,1,"350-600","45+","3-5","130K-170K","100K-150K"
0.688,"Germany","Female",1,1,0,1,"600-850","45+","+7","100K-130K","+150K"
0.052,"France","Male",2,1,0,0,"600-850","18-35","5-7","<100K","100K-150K"
0.868,"France","Female",1,1,0,0,"350-600","35-45","5-7","<100K","<50K"
0.04,"France","Female",1,1,1,0,"600-850","18-35","<3","100K-130K","<50K"
0.928,"France","Male",2,1,1,0,"600-850","35-45","+7","100K-130K","+150K"
0.02,"France","Female",2,1,0,0,"350-600","35-45","+7","<100K","<50K"
0.836,"France","Female",1,0,0,1,"<350","35-45","3-5","100K-130K","+150K"
0.032,"France","Male",1,1,0,1,"600-850","35-45","3-5","<100K","100K-150K"
0.044,"Spain","Female",1,1,1,0,"<350","35-45","<3","<100K","100K-150K"
0.024,"France","Female",2,1,1,0,"600-850","18-35","+7","<100K","+150K"
0.044,"France","Male",2,1,0,0,"600-850","18-35","<3","<100K","+150K"
0.736,"Spain","Male",1,1,1,0,"350-600","18-35","3-5","130K-170K","100K-150K"
0.088,"Spain","Male",1,1,0,1,"600-850","35-45","+7","<100K","100K-150K"
0.952,"Germany","Female",2,0,0,0,"350-600","35-45","<3","<100K","<50K"
0.712,"Germany","Female",2,0,1,0,"<350","18-35","+7","<100K","50K-100K"
0.672,"Spain","Female",1,0,1,0,"350-600","18-35","3-5","130K-170K","100K-150K"
0.044,"France","Male",2,1,1,0,"350-600","18-35","<3","<100K","100K-150K"
0.116,"Spain","Female",2,0,0,0,"350-600","18-35","+7","<100K","<50K"
0.096,"France","Female",1,1,1,0,"<350","45+","+7","<100K","<50K"
0,"France","Male",1,0,1,1,"350-600","35-45","+7","<100K","100K-150K"
0.032,"France","Female",1,1,1,0,"<350","18-35","<3","<100K","50K-100K"
0.26,"France","Female",3,0,0,1,"350-600","45+","+7","<100K","<50K"
0.164,"Germany","Male",2,0,1,0,"600-850","18-35","+7","130K-170K","<50K"
0.744,"France","Female",1,1,0,1,"600-850","35-45","<3","100K-130K","+150K"
0.944,"Germany","Male",2,1,0,0,"350-600","18-35","<3","130K-170K","100K-150K"
0.828,"Germany","Male",1,0,0,1,"600-850","18-35","+7","100K-130K","100K-150K"
0.024,"France","Female",1,1,0,0,"350-600","18-35","3-5","100K-130K","+150K"
0,"France","Male",1,0,0,0,"350-600","18-35","<3","<100K","<50K"
0.176,"Germany","Male",1,1,0,0,"<350","35-45","<3","130K-170K","+150K"
0.684,"Spain","Male",2,1,1,0,"<350","18-35","<3","100K-130K","+150K"
0.044,"Spain","Male",2,1,0,0,"350-600","45+","5-7","<100K","<50K"
0.024,"France","Female",2,1,1,0,"350-600","45+","+7","<100K","50K-100K"
0.824,"Germany","Male",1,1,0,0,"350-600","35-45","5-7","100K-130K","50K-100K"
0.008,"Spain","Female",1,0,1,0,"<350","35-45","3-5","100K-130K","<50K"
0.084,"Spain","Male",2,1,0,0,"600-850","35-45","5-7","<100K","100K-150K"
0,"Spain","Male",1,0,0,0,"350-600","18-35","<3","130K-170K","<50K"
0.056,"Germany","Male",2,1,0,0,"350-600","35-45","<3","<100K","100K-150K"
0,"France","Female",1,0,0,0,"600-850","18-35","3-5","130K-170K","+150K"
0.008,"Spain","Male",2,1,1,0,"350-600","35-45","+7","<100K","+150K"
0,"Germany","Male",3,0,0,1,"350-600","45+","+7","100K-130K","<50K"
0.012,"France","Female",2,1,0,0,"350-600","35-45","3-5","<100K","+150K"
0.02,"France","Male",1,0,0,1,"350-600","45+","+7","+170K","+150K"
0.16,"Spain","Female",2,1,1,0,"350-600","45+","<3","<100K","<50K"
0.08,"Germany","Male",2,0,0,0,"<350","35-45","+7","+170K","+150K"
0.052,"France","Female",1,1,1,0,"600-850","18-35","5-7","<100K","50K-100K"
0.252,"Spain","Male",2,1,0,0,"600-850","35-45","3-5","<100K","100K-150K"
0.02,"France","Female",1,0,0,1,"600-850","18-35","<3","100K-130K","100K-150K"
0.092,"Germany","Female",1,0,1,0,"350-600","45+","+7","100K-130K","100K-150K"
0.008,"Germany","Female",2,1,1,1,"350-600","35-45","3-5","<100K","100K-150K"
0.032,"Germany","Male",2,0,1,0,"350-600","18-35","3-5","100K-130K","100K-150K"
0.008,"France","Female",2,1,0,0,"350-600","35-45","5-7","<100K","+150K"
0.06,"Spain","Female",2,1,1,1,"350-600","45+","<3","+170K","+150K"
0.02,"France","Female",1,1,1,0,"600-850","35-45","+7","130K-170K","50K-100K"
0,"France","Male",2,1,1,0,"600-850","35-45","+7","<100K","50K-100K"
0.032,"Spain","Female",2,1,0,0,"350-600","35-45","3-5","<100K","50K-100K"
0.004,"Germany","Male",1,1,1,0,"350-600","45+","+7","<100K","+150K"
0.008,"Spain","Male",2,0,0,0,"600-850","35-45","5-7","130K-170K","+150K"
0.188,"Germany","Female",1,1,1,0,"<350","45+","+7","100K-130K","<50K"
0.004,"Spain","Male",1,1,0,0,"600-850","18-35","+7","<100K","50K-100K"
0.004,"France","Female",1,1,1,0,"<350","35-45","+7","<100K","50K-100K"
0.68,"France","Male",1,1,1,0,"600-850","35-45","+7","130K-170K","50K-100K"
0.016,"France","Male",2,1,1,0,"<350","18-35","+7","<100K","+150K"
0.068,"France","Male",1,0,1,0,"350-600","35-45","<3","130K-170K","100K-150K"
0.936,"France","Female",1,0,0,0,"<350","18-35","3-5","130K-170K","50K-100K"
0.652,"Spain","Male",1,1,0,1,"350-600","45+","+7","+170K","<50K"
0.308,"Germany","Male",1,0,1,0,"350-600","35-45","+7","100K-130K","<50K"
0.804,"Spain","Male",2,0,1,0,"<350","18-35","3-5","<100K","+150K"
0.84,"Germany","Female",2,1,0,0,"350-600","35-45","+7","130K-170K","100K-150K"
0.008,"France","Male",1,0,1,0,"350-600","45+","5-7","130K-170K","100K-150K"
0.748,"Spain","Male",2,0,0,0,"<350","35-45","+7","<100K","<50K"
0.096,"Spain","Male",1,1,1,0,"350-600","45+","5-7","<100K","+150K"
0.632,"France","Female",1,0,1,0,"<350","35-45","+7","<100K","+150K"
0.004,"France","Female",2,0,0,0,"350-600","35-45","+7","<100K","<50K"
0.792,"France","Female",1,1,1,1,"600-850","45+","3-5","<100K","<50K"
0.22,"Spain","Female",2,0,1,0,"350-600","45+","<3","<100K","+150K"
0.032,"Germany","Female",1,1,1,0,"350-600","35-45","+7","130K-170K","100K-150K"
0.34,"France","Male",2,1,1,0,"350-600","35-45","+7","+170K","50K-100K"
0.02,"France","Female",2,1,1,0,"<350","18-35","3-5","<100K","100K-150K"
0.944,"Spain","Male",1,1,1,0,"350-600","45+","+7","100K-130K","50K-100K"
0,"France","Male",2,1,0,0,"350-600","18-35","+7","<100K","100K-150K"
0.004,"France","Male",2,1,0,0,"600-850","35-45","3-5","<100K","50K-100K"
0.888,"France","Male",2,0,1,0,"600-850","35-45","<3","<100K","<50K"
0.164,"Spain","Female",1,1,1,0,"350-600","35-45","+7","<100K","100K-150K"
0.028,"France","Female",2,0,1,0,"600-850","35-45","3-5","<100K","+150K"
0.004,"France","Female",1,0,1,0,"<350","18-35","+7","100K-130K","50K-100K"
0.012,"France","Male",1,0,0,0,"<350","45+","<3","130K-170K","100K-150K"
0.04,"Germany","Female",1,1,1,0,"350-600","18-35","5-7","<100K","+150K"
0.008,"Spain","Female",2,1,1,0,"350-600","18-35","5-7","130K-170K","100K-150K"
0.088,"France","Female",2,0,0,0,"600-850","35-45","+7","+170K","<50K"
0.08,"France","Female",1,1,1,0,"600-850","45+","+7","100K-130K","50K-100K"
0,"Germany","Male",1,1,1,1,"600-850","45+","<3","100K-130K","<50K"
0.72,"France","Male",1,1,0,0,"<350","35-45","3-5","100K-130K","50K-100K"
0.904,"Germany","Male",1,1,0,0,"<350","18-35","<3","130K-170K","+150K"
0.004,"France","Male",1,1,0,1,"350-600","45+","<3","100K-130K","50K-100K"
0.816,"France","Male",2,0,0,0,"<350","35-45","+7","<100K","100K-150K"
0.04,"Spain","Female",1,0,1,0,"<350","45+","<3","130K-170K","100K-150K"
0.184,"Spain","Male",1,1,0,0,"<350","18-35","3-5","100K-130K","50K-100K"
0.04,"Spain","Male",2,1,1,0,"350-600","18-35","<3","+170K","50K-100K"
0.808,"Germany","Male",1,1,1,1,"350-600","45+","+7","100K-130K","<50K"
0.02,"France","Male",1,1,1,1,"600-850","45+","3-5","<100K","50K-100K"
